Rk,Season,Tm,TMSeason,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,1979-80,ATL,1979-80ATL`,82,50,32,0.61,19780,3261,7027,3248,6952,13,75,2038,2645,1369,2406,3775,1913,782,539,1495,2293,8573
38,1980-81,ATL,1980-81ATL,82,31,51,0.402,19930,3291,6866,3281,6784,10,82,2012,2590,1201,2224,3425,1846,749,469,1605,2276,8604
37,1981-82,ATL,1981-82ATL,82,42,40,0.52,19880,3210,6776,3182,6648,28,128,1833,2387,1135,2368,3503,1815,608,485,1343,2268,8281
36,1982-83,ATL,1982-83ATL,82,43,39,0.537,19780,3352,7146,3307,6958,45,188,1586,2111,1139,2433,3572,1945,573,665,1424,2022,8335
35,1983-84,ATL,1983-84ATL,82,40,42,0.5,19855,3230,6809,3207,6703,23,106,1838,2414,1112,2232,3344,1827,626,558,1329,2091,8321
34,1984-85,ATL,1984-85ATL,82,34,48,0.439,19855,3444,7119,3371,6884,73,235,1782,2371,1161,2345,3506,2009,665,541,1475,2047,8743
33,1985-86,ATL,1985-86ATL,82,50,32,0.61,19805,3447,7029,3414,6863,33,166,1979,2704,1249,2405,3654,2025,736,434,1483,2170,8906
32,1986-87,ATL,1986-87ATL,82,57,25,0.695,19730,3435,7141,3300,6716,135,425,2019,2661,1350,2478,3828,2077,700,511,1279,2152,9024
31,1987-88,ATL,1987-88ATL,82,50,32,0.61,19780,3443,7102,3358,6820,85,282,1873,2441,1228,2379,3607,2062,635,537,1225,2050,8844
30,1988-89,ATL,1988-89ATL,82,52,30,0.646,19805,3412,7230,3302,6833,110,397,2168,2709,1372,2316,3688,1990,817,474,1310,1880,9102
29,1989-90,ATL,1989-90ATL,82,41,41,0.512,19730,3417,7019,3293,6608,124,411,1943,2544,1273,2187,3460,1820,717,353,1270,1871,8901
